establishment_id,city,state,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,soc_code,soc_description,soc_reviewed,soc_probability,date_of_incident,incident_outcome,dafw_num_away,djtr_num_tr,type_of_incident,time_started_work,time_of_incident,time_unknown,date_of_death,incident_month,incident_year,incident_month_year
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-03-13,2,2,0,1,30:00.0,30:00.0,0.0,,3,2023,2023-03
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-05-08,2,20,0,1,30:00.0,30:00.0,0.0,,5,2023,2023-05
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-06-18,2,7,0,1,30:00.0,00:00.0,0.0,,6,2023,2023-06
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-06-19,2,3,0,1,30:00.0,00:00.0,0.0,,6,2023,2023-06
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-06-25,2,126,8,1,30:00.0,40:00.0,0.0,,6,2023,2023-06
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-06-26,2,6,0,1,30:00.0,00:00.0,0.0,,6,2023,2023-06
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-08-20,2,18,0,1,30:00.0,08:00.0,0.0,,8,2023,2023-08
1000049,Portland,OR,492110,2022.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2,74,112249,43-5021,Couriers and Messengers,1,0.95010704,2023-12-04,2,13,0,1,30:00.0,15:00.0,0.0,,12,2023,2023-12
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,49-9041,Industrial Machinery Mechanics,0,0.9999902,2023-02-24,2,77,0,1,00:00.0,30:00.0,0.0,,2,2023,2023-02
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-9199,"Production Workers, All Other",0,0.9995372,2023-03-09,2,7,0,1,00:00.0,10:00.0,0.0,,3,2023,2023-03
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-9199,"Production Workers, All Other",0,0.96840835,2023-04-11,4,0,0,1,00:00.0,00:00.0,0.0,,4,2023,2023-04
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-1011,First-Line Supervisors of Production and Operating Workers,0,0.9990934,2023-08-08,2,19,0,1,30:00.0,07:00.0,0.0,,8,2023,2023-08
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-9199,"Production Workers, All Other",0,0.9995372,2023-09-29,4,0,0,1,00:00.0,10:00.0,0.0,,9,2023,2023-09
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-9199,"Production Workers, All Other",0,0.9995372,2023-10-12,2,4,0,1,00:00.0,30:00.0,0.0,,10,2023,2023-10
1001828,Eau Claire,WI,325211,2022.0,"""Plastics Material and Resin Manufacturing""",1.0,21,84,152631,51-9199,"Production Workers, All Other",0,0.9995372,2023-12-17,3,0,13,1,00:00.0,45:00.0,0.0,,12,2023,2023-12
1001889,Holiday City,OH,327331,2022.0,"""Concrete Block and Brick Manufacturing""",1.0,21,38,63089,49-9041,Industrial Machinery Mechanics,0,0.9922076,2023-02-09,4,0,0,1,00:00.0,30:00.0,0.0,,2,2023,2023-02
1001889,Holiday City,OH,327331,2022.0,"""Concrete Block and Brick Manufacturing""",1.0,21,38,63089,49-9041,Industrial Machinery Mechanics,0,0.9922076,2023-08-21,4,0,0,1,00:00.0,30:00.0,0.0,,8,2023,2023-08
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,43-5071,"Shipping, Receiving, and Inventory Clerks",1,0.9797055,2023-01-09,2,6,0,1,55:00.0,20:00.0,0.0,,1,2023,2023-01
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,53-7065,Stockers and Order Fillers,1,0.9999937,2023-02-26,4,0,0,1,02:00.0,47:00.0,0.0,,2,2023,2023-02
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,41-2031,Retail Salespersons,1,0.98826224,2023-03-08,4,0,0,1,59:00.0,30:00.0,0.0,,3,2023,2023-03
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,53-7065,Stockers and Order Fillers,1,0.9999937,2023-06-24,2,2,0,1,03:00.0,00:00.0,0.0,,6,2023,2023-06
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,9999,Uncoded,2,0.0,2023-07-31,4,0,0,1,55:00.0,30:00.0,0.0,,7,2023,2023-07
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,41-2031,Retail Salespersons,1,0.98826224,2023-08-28,2,2,0,1,03:00.0,37:00.0,0.0,,8,2023,2023-08
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,43-5071,"Shipping, Receiving, and Inventory Clerks",1,0.9797055,2023-11-09,4,0,0,1,10:00.0,10:00.0,0.0,,11,2023,2023-11
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,41-1011,First-Line Supervisors of Retail Sales Workers,1,0.9743444,2023-11-22,4,0,0,1,55:00.0,37:00.0,0.0,,11,2023,2023-11
1002078,CRESTWOOD,IL,444110,2022.0,Home Centers,1.0,22,189,273285,53-3033,Light Truck Drivers,1,0.95221883,2023-12-19,4,0,0,1,02:00.0,02:00.0,0.0,,12,2023,2023-12
1002096,DETROIT LAKES,MN,444110,2022.0,"""Home Centers""",1.0,22,160,226194,53-7065,Stockers and Order Fillers,1,0.9999937,2023-01-02,2,48,13,1,56:00.0,40:00.0,0.0,,1,2023,2023-01
1002096,DETROIT LAKES,MN,444110,2022.0,"""Home Centers""",1.0,22,160,226194,9999,Uncoded,2,0.0,2023-01-11,4,0,0,1,30:00.0,45:00.0,0.0,,1,2023,2023-01
1002096,DETROIT LAKES,MN,444110,2022.0,"""Home Centers""",1.0,22,160,226194,41-1011,First-Line Supervisors of Retail Sales Workers,1,0.978864,2023-04-22,2,36,0,1,55:00.0,00:00.0,0.0,,4,2023,2023-04
1002096,DETROIT LAKES,MN,444110,2022.0,"""Home Centers""",1.0,22,160,226194,41-1011,First-Line Supervisors of Retail Sales Workers,1,0.9743444,2023-05-25,2,39,0,1,59:00.0,45:00.0,0.0,,5,2023,2023-05
1002096,DETROIT LAKES,MN,444110,2022.0,"""Home Centers""",1.0,22,160,226194,53-7065,Stockers and Order Fillers,1,0.9999937,2023-06-08,4,0,0,1,57:00.0,10:00.0,0.0,,6,2023,2023-06
