establishment_id,city,state,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,soc_code,soc_description,soc_reviewed,soc_probability,date_of_incident,incident_outcome,dafw_num_away,djtr_num_tr,type_of_incident,time_started_work,time_of_incident,time_unknown,date_of_death,incident_month,incident_year,incident_month_year
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-01-09,2.0,117.0,49.0,1.0,30:00.0,55:00.0,0.0,,1,2024,2024-01
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-02-01,2.0,48.0,20.0,1.0,30:00.0,30:00.0,0.0,,2,2024,2024-02
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-02-07,2.0,62.0,0.0,1.0,30:00.0,,1.0,,2,2024,2024-02
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-02-16,2.0,40.0,0.0,1.0,30:00.0,,1.0,,2,2024,2024-02
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-03-04,2.0,164.0,15.0,1.0,30:00.0,14:00.0,0.0,,3,2024,2024-03
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-03-04,2.0,62.0,0.0,1.0,30:00.0,15:00.0,0.0,,3,2024,2024-03
1000049,Portland,OR,492110.0,2012.0,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",1.0,2.0,96.0,149710.0,43-5021,Couriers and Messengers,1.0,0.95010704,2024-03-06,2.0,20.0,0.0,1.0,30:00.0,45:00.0,0.0,,3,2024,2024-03
1001828,Eau Claire,WI,325211.0,2012.0,"""Plastics Material and Resin Manufacturing""",1.0,21.0,99.0,171459.0,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0.0,0.999907,2024-02-07,4.0,0.0,0.0,1.0,00:00.0,30:00.0,0.0,,2,2024,2024-02
1001828,Eau Claire,WI,325211.0,2012.0,"""Plastics Material and Resin Manufacturing""",1.0,21.0,99.0,171459.0,51-1011,First-Line Supervisors of Production and Operating Workers,0.0,0.9990934,2024-02-28,4.0,0.0,0.0,1.0,45:00.0,10:00.0,0.0,,2,2024,2024-02
1001828,Eau Claire,WI,325211.0,2012.0,"""Plastics Material and Resin Manufacturing""",1.0,21.0,99.0,171459.0,51-9199,"Production Workers, All Other",0.0,0.83869255,2024-03-03,4.0,0.0,0.0,1.0,00:00.0,00:00.0,0.0,,3,2024,2024-03
1002078,CRESTWOOD,IL,444110.0,2012.0,"""Home Centers""",1.0,22.0,180.0,254815.0,41-2031,Retail Salespersons,1.0,0.98826224,2024-01-02,4.0,0.0,0.0,1.0,06:00.0,55:00.0,0.0,,1,2024,2024-01
1002078,CRESTWOOD,IL,444110.0,2012.0,"""Home Centers""",1.0,22.0,180.0,254815.0,51-2099,"Assemblers and Fabricators, All Other",0.0,0.87667423,2024-03-06,4.0,0.0,0.0,1.0,55:00.0,00:00.0,0.0,,3,2024,2024-03
